Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
20811,Religion & Mythology,Mythology & Legends,In Greek mythology who was the first woman?,Pandora,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
20812,Religion & Mythology,Mythology & Legends,What Did The Ancient Greeks Call The Fear Of Woods And Forests,Panic,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
20813,Religion & Mythology,Mythology & Legends,Ancient Rome / Greece what Temple was dedicated to all Gods,Pantheon,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
20883,Religion & Mythology,Mythology & Legends,Whose abduction of Helen of Troy brought about the Trojan War,Paris,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21021,Religion & Mythology,Mythology & Legends,Who is the Roman goddess of peace?,Pax,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21022,Religion & Mythology,Mythology & Legends,Who was the Roman goddess of peace?,Pax,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21035,Religion & Mythology,Mythology & Legends,Irene was the Greek goddess of what?,Peace,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21036,Religion & Mythology,Mythology & Legends,Pax is the Roman goddess of what?,Peace,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21041,Religion & Mythology,Mythology & Legends,Ancient Chinese thought what fruit was a symbol of long life and immortality,Peach,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21107,Religion & Mythology,Mythology & Legends,Name the fabulous winged horse of Greek mythology?,Pegasus,Common Knowledge,Religion & Mythology|Mythology & Legends,
21108,Religion & Mythology,Mythology & Legends,What is the name of the winged horse in Greek mythology,Pegasus,Common Knowledge,Religion & Mythology|Mythology & Legends,
21119,Religion & Mythology,Mythology & Legends,"In Greek mythology, who were Achilles' parents",Peleus and Thetis,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21136,Religion & Mythology,Mythology & Legends,In Greek mythology who was the wife of Odysseus?,Penelope,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21153,Religion & Mythology,Mythology & Legends,What is the Tibetan Yab Yum?,A sexual position,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21154,Religion & Mythology,Mythology & Legends,"Who is the Persian goddess of water, fertility and war",Anahita,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21206,Religion & Mythology,Mythology & Legends,"In Cornish folklore, what is a sea spirit that lives among fishermen?",Bucca,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21216,Religion & Mythology,Mythology & Legends,Who is the Roman goddess of childbirth,Carmenta,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21220,Religion & Mythology,Mythology & Legends,Who is the Roman goddess of harmonious relations,Concordia,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21230,Religion & Mythology,Mythology & Legends,In Greek mythology who was Queen of the underworld?,Persephone,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21231,Religion & Mythology,Mythology & Legends,Who was the Greek goddess of spring?,Persephone,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21232,Religion & Mythology,Mythology & Legends,In Greek mythology Danae was the mother of whom?,Perseus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21233,Religion & Mythology,Mythology & Legends,In Greek mythology who killed the Gorgon?,Perseus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21234,Religion & Mythology,Mythology & Legends,Who killed his grandfather with a quoit at the Larrisan games,Perseus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21235,Religion & Mythology,Mythology & Legends,Who saved Andromeda from the sea monster?,Perseus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21259,Religion & Mythology,Mythology & Legends,Who is the Greek equivalent of the Roman god Discordia,Eris,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21270,Religion & Mythology,Mythology & Legends,Eidology is the search for what?,Existence of ghosts,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21292,Religion & Mythology,Mythology & Legends,Hymen in Greek and Genius in Roman were gods of what,Fertility and Marriage,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21308,Religion & Mythology,Mythology & Legends,In Gaelic legend who had a dog called Bran,Fingal,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21324,Religion & Mythology,Mythology & Legends,"In Greek mythology, where were lotuses eaten?",Island of Jerba,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21328,Religion & Mythology,Mythology & Legends,Who is the Mayan earth and moon goddess and patroness of pregnant women?,Ixchel,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21334,Religion & Mythology,Mythology & Legends,Who were Thor's two sons the brave and the powerful?,Modi and Magni,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21347,Religion & Mythology,Mythology & Legends,In Greek mythology Themes was the mother of,Moirae,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21393,Religion & Mythology,Mythology & Legends,Who was Hiawatha's father in Native American legend?,Mudjekeewis,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21406,Religion & Mythology,Mythology & Legends,What was the name of the ant people created by Zeus,Myrmidons,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21416,Religion & Mythology,Mythology & Legends,In Greek mythology who was the father of Electra?,Oceanus,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21424,Religion & Mythology,Mythology & Legends,In Greek mythology who was the goddess of the moon,Phoebe,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21426,Religion & Mythology,Mythology & Legends,In Greek mythology who was Paris' wife before he was smitten by Helen?,Oenone,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21476,Religion & Mythology,Mythology & Legends,Who is the Roman goddess of flocks and herds?,Pales,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21511,Religion & Mythology,Mythology & Legends,Panchaguni is the Indian god of what art?,Palmistry,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21528,Religion & Mythology,Mythology & Legends,"In Greek mythology, who was Oenone's husband?",Paris,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21533,Religion & Mythology,Mythology & Legends,In Greek mythology who ruled over the island of Samos?,Polycrates,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21536,Religion & Mythology,Mythology & Legends,Who is the Roman Goddess of orchards and gardens,Pomonia,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21543,Religion & Mythology,Mythology & Legends,Ixchel is the Mayan patroness of what,Pregnant women,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21571,Religion & Mythology,Mythology & Legends,Tefnut was the Egyptian goddess of what,Rain,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21615,Religion & Mythology,Mythology & Legends,What kind of head does a Criosphinx possess,Ram,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21630,Religion & Mythology,Mythology & Legends,In Cornish folklore what is a bucca,Sea spirit,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21653,Religion & Mythology,Mythology & Legends,Who was the giant wife of the Norse god Njord,Skadi,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21677,Religion & Mythology,Mythology & Legends,What was the name of King Arthur's horse?,Spumador,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21691,Religion & Mythology,Mythology & Legends,Ratatosk was what animal in Norse mythology that relayed insults,Squirrel,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21716,Religion & Mythology,Mythology & Legends,In some religions mistletoe represents God's what?,Testicles,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21717,Religion & Mythology,Mythology & Legends,A myomancer predicts the future by studying what?,The shape of mice,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21720,Religion & Mythology,Mythology & Legends,Bragi was the Norse god of what?,Poetry,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21721,Religion & Mythology,Mythology & Legends,Hathor was the Egyptian goddess of what,The Sky,Obscure Knowledge,Religion & Mythology|Mythology & Legends,
21785,Religion & Mythology,Mythology & Legends,In Greek mythology what is the alternate name for Polydeuces,Pollux,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21799,Religion & Mythology,Mythology & Legends,What is the name for a noisy ghost or spirit?,Poltergeist,Common Knowledge,Religion & Mythology|Mythology & Legends,
21800,Religion & Mythology,Mythology & Legends,What type of ghosts are known to play pranks on humans?,Poltergeists,Common Knowledge,Religion & Mythology|Mythology & Legends,
21808,Religion & Mythology,Mythology & Legends,In mythology Odysseus blinded which Cyclops,Polyphemus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
21941,Religion & Mythology,Mythology & Legends,Neptune was the Roman god of the oceans what name did the Greeks use?,Poseidon,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21942,Religion & Mythology,Mythology & Legends,Who is the Greek equivalent of the Roman god Neptune,Poseidon,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21943,Religion & Mythology,Mythology & Legends,Who ruled the seas in Greek mythology?,Poseidon,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
21944,Religion & Mythology,Mythology & Legends,Who was the Greek god of the sea,Poseidon,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22076,Religion & Mythology,Mythology & Legends,Who was the last king of Troy killed by Achilles' son Pyrrhus?,Priam,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22077,Religion & Mythology,Mythology & Legends,What sin have inhabitants of Dante's first circle of hell committed?,Pride,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22161,Religion & Mythology,Mythology & Legends,In Greek mythology who created man?,Prometheus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22162,Religion & Mythology,Mythology & Legends,In Greek mythology who gave fire to mankind?,Prometheus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22163,Religion & Mythology,Mythology & Legends,What figure in Greek mythology gave fire to man?,Prometheus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22168,Religion & Mythology,Mythology & Legends,In Roman mythology Faunus was the god of what,Prophecy,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22169,Religion & Mythology,Mythology & Legends,Apollo was the Greek god of what?,Prophecy and archery,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22175,Religion & Mythology,Mythology & Legends,Rhodopis the original Egyptian Cinderella had what job,Prostitute,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22298,Religion & Mythology,Mythology & Legends,In Greek mythology who married the beautiful maid Galatea,Pygmalion,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22299,Religion & Mythology,Mythology & Legends,In mythology which King of Cyprus fell in love with a statue,Pygmalion,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22428,Religion & Mythology,Mythology & Legends,Who was the sun god in Egyptian mythology?,Ra,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
22487,Religion & Mythology,Mythology & Legends,In Scandinavian Mythology What Is The Day Of Final Doom Called,Ragnarok,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
22599,Religion & Mythology,Mythology & Legends,What type of birds sit on the shoulders of Odin,Ravens,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
23062,Religion & Mythology,Mythology & Legends,What are Acheron Cocytus and Phlegethon?,Rivers of Hell,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
23171,Religion & Mythology,Mythology & Legends,Sinbad faced this Arabian mythical bird of prey,Roc,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
23262,Religion & Mythology,Mythology & Legends,What are most of the solar system's planets named for,Roman gods,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
23313,Religion & Mythology,Mythology & Legends,Who were the fabled twins raised by a wolf that supposedly founded Rome?,Romulus & Remus,Common Knowledge,Religion & Mythology|Mythology & Legends,
23314,Religion & Mythology,Mythology & Legends,Who were the legendary founders of Rome?,Romulus and Remus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
23385,Religion & Mythology,Mythology & Legends,Who coupled with the devil and gave birth to Andrew John,Rosemary,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
23626,Religion & Mythology,Mythology & Legends,What is the ninth sign of the zodiac symbolized by an archer,Sagittarius,Common Knowledge,Religion & Mythology|Mythology & Legends,
23627,Religion & Mythology,Mythology & Legends,What sign of the zodiac is represented by a centaur,Sagittarius,Common Knowledge,Religion & Mythology|Mythology & Legends,
23871,Religion & Mythology,Mythology & Legends,What is the wild hairy monster of Canadian Indian lore called?,Sasquatch,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
23888,Religion & Mythology,Mythology & Legends,Ops was the wife of which Roman god?,Saturn,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
23889,Religion & Mythology,Mythology & Legends,Who is the Roman god of agriculture?,Saturn,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
23890,Religion & Mythology,Mythology & Legends,Who was the Roman god of agriculture,Saturn,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24067,Religion & Mythology,Mythology & Legends,Neptune was the Roman god of what,Sea,Common Knowledge,Religion & Mythology|Mythology & Legends,
24068,Religion & Mythology,Mythology & Legends,Poseidon was the Greek god of what?,Sea,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24157,Religion & Mythology,Mythology & Legends,Who was the Egyptian god of war and divine vengeance?,Sekhmet,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
24160,Religion & Mythology,Mythology & Legends,Who is the Greek goddess of the moon,Selene,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
24211,Religion & Mythology,Mythology & Legends,What kind of animal is Jormungandr in Norse mythology?,Serpent,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
24436,Religion & Mythology,Mythology & Legends,Pan is the Greek god of ___,Shepherds and flocks,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24464,Religion & Mythology,Mythology & Legends,Where did Robin Hood supposedly live,Sherwood Forest,Common Knowledge,Religion & Mythology|Mythology & Legends,
24738,Religion & Mythology,Mythology & Legends,Which of King Arthur's knights survived his last battle,Sir Bedivere,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
24759,Religion & Mythology,Mythology & Legends,What Arthurian knight had the strength of ten because his heart was pure?,Sir Galahad,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24768,Religion & Mythology,Mythology & Legends,In English mythology who caused the death of the Lady of Shalott,Sir Lancelot,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
24769,Religion & Mythology,Mythology & Legends,To whom did the Lady of the Lake give Excalibur,Sir Lancelot,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24770,Religion & Mythology,Mythology & Legends,Who betrayed King Arthur by sleeping with his wife Guinevere?,Sir Lancelot,Common Knowledge,Religion & Mythology|Mythology & Legends,
24771,Religion & Mythology,Mythology & Legends,Who did Gawain accuse of sleeping with Guinevere,Sir Lancelot,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24772,Religion & Mythology,Mythology & Legends,Who was King Arthur's champion?,Sir Lancelot,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
24903,Religion & Mythology,Mythology & Legends,Nut Neuth and Nuit are alternative names for the Egyptian goddess of what?,Sky,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
25171,Religion & Mythology,Mythology & Legends,What was the name of the Roman god of sleep,Somnus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
25434,Religion & Mythology,Mythology & Legends,In Greek mythology the riddle of what did Oedipus solve,Sphinx,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
25448,Religion & Mythology,Mythology & Legends,In Greek mythology into what did Athena turn Arachne,Spider,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
25499,Religion & Mythology,Mythology & Legends,Persephone was the Greek goddess of what,Spring,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
25968,Religion & Mythology,Mythology & Legends,"Which river's name translates as ""river of hate""?",Styx,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26250,Religion & Mythology,Mythology & Legends,Oedipus was named after what - literal translation,Swollen feet,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26381,Religion & Mythology,Mythology & Legends,In mythology which giant made of brass guarded Crete?,Talos,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26407,Religion & Mythology,Mythology & Legends,Greeks and Romans regarded what herb as a symbol of immortality?,Tansy,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26408,Religion & Mythology,Mythology & Legends,Which mythological king was chained while grapes and rose water fell nearby?,Tantalus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26422,Religion & Mythology,Mythology & Legends,What are Strength Chariot and Hermit?,Tarot Cards,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
26427,Religion & Mythology,Mythology & Legends,What is the name of the underworld in Greek mythology,Tartarus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26649,Religion & Mythology,Mythology & Legends,Who was the Roman god of field boundaries?,Terminus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26658,Religion & Mythology,Mythology & Legends,Who was the Roman goddess of the land?,Terra,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26745,Religion & Mythology,Mythology & Legends,What is the more familiar name of the Himalayas' yeti,The abominable snowman,Common Knowledge,Religion & Mythology|Mythology & Legends,
26761,Religion & Mythology,Mythology & Legends,Shu was an Egyptian god of what?,The air,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
26978,Religion & Mythology,Mythology & Legends,"Lord Harry, Old Billy, Queed, Skipper, Toast Are Nicknames For Who",The Devil,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27046,Religion & Mythology,Mythology & Legends,According to Earth Medicine what is the birth totem for March?,The Falcon,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27072,Religion & Mythology,Mythology & Legends,What phantom ship is said to haunt The Cape of Good Hope,The Flying Dutchman,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
27095,Religion & Mythology,Mythology & Legends,"According To Hindu Myth, What River Once Flowed Through Heaven",The Ganges,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27159,Religion & Mythology,Mythology & Legends,Chronos in Greek Saturnus in Roman Gods of what?,The Harvest,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27169,Religion & Mythology,Mythology & Legends,For what did the knights of the round table search,The holy grail,Common Knowledge,Religion & Mythology|Mythology & Legends,
27172,Religion & Mythology,Mythology & Legends,Which insect is the symbol of female potency?,The Honey Bee,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27692,Religion & Mythology,Mythology & Legends,Hades was god of what?,The underworld,Common Knowledge,Religion & Mythology|Mythology & Legends,
27770,Religion & Mythology,Mythology & Legends,Of what city was Oedipus king,Thebes,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
27811,Religion & Mythology,Mythology & Legends,"In Greek mythology, who did Ariadne help to escape the labyrinth?",Theseus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
27913,Religion & Mythology,Mythology & Legends,Who is the Norse god of thunder and war?,Thor,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
27921,Religion & Mythology,Mythology & Legends,Which Egyptian god has an ibis head?,Thoth,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
27965,Religion & Mythology,Mythology & Legends,Mizaru Mikazaru and Mazaru are better known as who,Three Monkeys,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28001,Religion & Mythology,Mythology & Legends,In Greek mythology what did the Cyclops forge for Zeus,Thunderbolts,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28041,Religion & Mythology,Mythology & Legends,In The Chinese Horoscope What Animal Comes Last Alphabetically,Tiger,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28100,Religion & Mythology,Mythology & Legends,In Cornwall where would you find two-legged knockers?,Tin mines,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28135,Religion & Mythology,Mythology & Legends,In Greek mythology Atlas was a member of what group,Titans,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28136,Religion & Mythology,Mythology & Legends,In Greek mythology who were the personification of the forces of nature?,Titans,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28440,Religion & Mythology,Mythology & Legends,What country is Dracula said to come from?,Transylvania,Common Knowledge,Religion & Mythology|Mythology & Legends,
28459,Religion & Mythology,Mythology & Legends,What is Yggdrasil in Norse mythology,Tree,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28469,Religion & Mythology,Mythology & Legends,In Greek mythology a Hamadryad's spirit guarded what,Trees,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28491,Religion & Mythology,Mythology & Legends,The sea gods carried a three-pronged spear called what?,Trident,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28492,Religion & Mythology,Mythology & Legends,What did Neptune hold in his hand?,Trident,Common Knowledge,Religion & Mythology|Mythology & Legends,
28507,Religion & Mythology,Mythology & Legends,Who was the son of Poseidon and Amphitrite?,Triton,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28571,Religion & Mythology,Mythology & Legends,Vor was the Norse goddess of what?,Truth,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28801,Religion & Mythology,Mythology & Legends,Who was the brave Norse god of war and justice?,Tyr,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28841,Religion & Mythology,Mythology & Legends,Who was the Swedish god of skiing bowshooting and hunting,Ull,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28851,Religion & Mythology,Mythology & Legends,What was the Roman name for Odysseus,Ulysses,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28887,Religion & Mythology,Mythology & Legends,Osiris was the Egyptian god of what?,Underworld and vegetation,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28894,Religion & Mythology,Mythology & Legends,What creature called reem in Hebrew is mentioned in Deuteronomy?,Unicorn,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
28895,Religion & Mythology,Mythology & Legends,What myth is the rhinoceros thought to have inspired,Unicorn,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28974,Religion & Mythology,Mythology & Legends,In Astrology Aquarians are ruled by what planet?,Uranus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28975,Religion & Mythology,Mythology & Legends,Who is the Greek God of the sky and the universe,Uranus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
28990,Religion & Mythology,Mythology & Legends,In Greek mythology as which constellation did Zeus place Callisto?,Ursa Major,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29048,Religion & Mythology,Mythology & Legends,Who was King Arthur's father?,Uther Pendragon,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29080,Religion & Mythology,Mythology & Legends,What is heaven to fallen Norse warriors?,Valhalla,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29083,Religion & Mythology,Mythology & Legends,In Norse mythology who is Brunhild chief of,Valkyries,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29084,Religion & Mythology,Mythology & Legends,Who did the Norse god Odin have as handmaidens,Valkyries,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29091,Religion & Mythology,Mythology & Legends,What has no reflection no shadow and cannot stand the smell of garlic?,Vampires,Common Knowledge,Religion & Mythology|Mythology & Legends,
29149,Religion & Mythology,Mythology & Legends,Dagon is the Mesopotamian god of what,Vegetation,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29193,Religion & Mythology,Mythology & Legends,Who is the Roman counterpart of Aphrodite?,Venus,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29194,Religion & Mythology,Mythology & Legends,Who is the Roman god Amor's mother?,Venus,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29251,Religion & Mythology,Mythology & Legends,Who was the Roman goddess of the hearth,Vesta,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29287,Religion & Mythology,Mythology & Legends,Who is the Roman equivalent of the Greek goddess Nike,Victoria,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29379,Religion & Mythology,Mythology & Legends,The Parthenon is named after Athena Parthenon - what does Parthenon mean?,Virgin,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29380,Religion & Mythology,Mythology & Legends,What is the zodiacal symbol for Virgo,Virgin,Common Knowledge,Religion & Mythology|Mythology & Legends,
29491,Religion & Mythology,Mythology & Legends,Who is the Roman counterpart of Hephaestus?,Vulcan,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29492,Religion & Mythology,Mythology & Legends,Who is the Roman god of fire?,Vulcan,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29581,Religion & Mythology,Mythology & Legends,In Norse mythology Tyr is the god of what?,War,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29582,Religion & Mythology,Mythology & Legends,Mentu Egyptian and Tyr Norse were gods of what?,War,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29583,Religion & Mythology,Mythology & Legends,Which of the four Horsemen of the Apocalypse rode a red horse,War,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
29584,Religion & Mythology,Mythology & Legends,Sakhmet was the Egyptian god of what?,War and Divine Vengeance,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29593,Religion & Mythology,Mythology & Legends,What is a male witch known as?,Warlock,Common Knowledge,Religion & Mythology|Mythology & Legends,
29595,Religion & Mythology,Mythology & Legends,What are male witches called?,Warlocks,Common Knowledge,Religion & Mythology|Mythology & Legends,
29758,Religion & Mythology,Mythology & Legends,In which river did the Pied Piper drown the rats of Hamelin,Weser,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29759,Religion & Mythology,Mythology & Legends,What river did the Pied Piper drown the rats in?,Weser,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
29840,Religion & Mythology,Mythology & Legends,When are werewolves expected to appear?,When there is a full moon,Common Knowledge,Religion & Mythology|Mythology & Legends,
29894,Religion & Mythology,Mythology & Legends,The Carmelite monks have what more common name,White Friars,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30074,Religion & Mythology,Mythology & Legends,Dionysus was the Greek god of what?,Wine,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
30080,Religion & Mythology,Mythology & Legends,What was Pegasus in Greek mythology?,Winged Horse,Common Knowledge,Religion & Mythology|Mythology & Legends,
30110,Religion & Mythology,Mythology & Legends,Skadi is the Norse goddess of what?,Winter and the Hunt,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30118,Religion & Mythology,Mythology & Legends,In Norse mythology Odin traded an eye for what,Wisdom,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
30119,Religion & Mythology,Mythology & Legends,Minerva is the goddess of what?,Wisdom,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
30120,Religion & Mythology,Mythology & Legends,The giant Kvasir in Norse mythology has what power,Wisdom,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30130,Religion & Mythology,Mythology & Legends,According to old superstition wearing socks inside out protects from what?,Witches,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30131,Religion & Mythology,Mythology & Legends,Kolduns Popular In Russia As Analysts In America - What Are They,Witches,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30132,Religion & Mythology,Mythology & Legends,Who were believed to celebrate Walpurgis Night on the eve of May Day?,Witches,Moderate Knowledge,Religion & Mythology|Mythology & Legends,
30152,Religion & Mythology,Mythology & Legends,In Mythology Romulus And Remus Were Brought Up By Which Animal,Wolf,Common Knowledge,Religion & Mythology|Mythology & Legends,
30159,Religion & Mythology,Mythology & Legends,Odin owned Geri and Freki - what were they?,Wolves,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30196,Religion & Mythology,Mythology & Legends,In mythology Romulus Remus suckled by a she-wolf fed by what,Woodpecker,Specialized Knowledge,Religion & Mythology|Mythology & Legends,
30396,Religion & Mythology,Mythology & Legends,What name is given to the Himalayan abominable snowman,Yeti,Common Knowledge,Religion & Mythology|Mythology & Legends,
